,Country,Agriculture,Industry,Services ,q_vals
0,Afghanistan ,24.0,21.0,55.0,1
1, Albania ,21.6,14.9,63.5,1
2,Algeria,13.1,38.7,48.2,3
3, American Samoa ,27.4,12.4,60.2,1
4, Andorra ,14.0,79.0,6.0,3
5, Angola ,10.2,61.4,28.4,3
6, Anguilla ,2.3,21.0,76.6,1
7, Antigua and Barbuda ,2.2,17.8,80.0,1
8,Argentina,11.4,30.2,58.4,3
9, Armenia ,19.6,29.1,51.3,2
10, Aruba ,0.4,33.3,66.3,3
11, Australia ,3.6,28.2,68.2,2
12,Austria,1.5,29.4,69.1,2
13, Azerbaijan ,5.5,62.1,32.4,3
14," Bahamas, The ",2.2,6.5,91.3,1
15, Bahrain ,0.4,63.6,36.0,3
16,Bangladesh,18.4,28.6,53.0,2
17, Barbados ,3.2,13.9,82.9,1
18, Belarus ,9.4,45.9,44.7,3
19,Belgium,0.7,21.7,77.6,2
20, Belize ,9.7,19.8,70.5,1
21, Benin ,36.0,6.4,57.6,1
22, Bermuda ,0.7,7.0,92.2,1
23, Bhutan ,16.7,45.4,37.9,3
24,Bolivia,10.0,40.0,50.0,3
25,Bosnia and Herzegovina,8.3,26.3,65.4,2
26, Botswana ,2.1,45.0,52.9,3
27,Brazil,5.5,27.5,67.0,2
28, British Virgin Islands ,1.0,11.9,87.2,1
29,Brunei,0.8,66.7,32.5,3
30,Bulgaria,5.2,30.6,64.2,3
31, Burkina Faso ,34.7,23.3,42.0,2
32, Burma ,38.2,18.2,43.6,1
33, Burundi ,31.0,21.4,47.7,2
34,Cambodia,30.0,30.0,40.0,3
35, Cameroon ,19.5,31.0,49.5,3
36,Canada,1.9,27.1,71.0,2
37, Cape Verde ,8.4,15.7,75.9,1
38, Cayman Islands ,0.5,50.4,49.1,3
39, Central African Republic ,53.1,14.5,32.4,1
40, Chad ,52.7,6.7,40.6,1
41,Chile,5.1,41.8,53.1,3
42,China,10.1,46.8,43.1,3
43,Colombia,7.0,37.6,55.5,3
44, Comoros ,51.6,13.6,47.0,1
45," Congo, Democratic Republic of the ",37.5,27.6,35.0,2
46," Congo, Republic of the ",4.2,70.7,25.1,3
47, Cook Islands ,11.7,9.9,78.5,1
48, Costa Rica ,6.3,21.7,72.0,2
49, Cote d'Ivoire ,30.0,21.0,49.0,1
50,Croatia,5.4,25.5,69.1,2
51, Cuba ,4.0,20.8,75.2,1
52, Curacao ,0.7,15.5,83.8,1
53,Cyprus,2.4,16.5,81.1,1
54,Czech Republic,1.6,38.1,60.3,3
55,Denmark,4.5,19.1,76.4,1
56, Djibouti ,3.0,17.0,79.9,1
57, Dominica ,21.4,22.4,56.3,2
58, Dominican Republic ,6.7,26.1,67.2,2
59,Ecuador,6.5,34.6,58.9,3
60, Egypt ,14.5,37.6,47.6,3
61,El Salvador,10.6,30.0,59.3,3
62, Equatorial Guinea ,3.6,89.7,4.3,3
63, Eritrea ,11.0,34.0,55.0,3
64,Estonia,3.5,28.5,61.0,2
65,Ethiopia,41.0,13.0,46.0,1
66, European Union ,1.8,24.9,73.2,2
67, Falkland Islands ,95.0,2.5,2.5,1
68, Faroe Islands ,16.0,29.0,55.0,2
69, Fiji ,12.0,20.2,67.7,1
70,Finland,3.0,29.2,67.8,2
71,France,1.8,18.8,79.4,1
72, French Polynesia ,3.5,20.4,76.1,1
73, Gabon ,5.2,54.4,40.4,3
74," Gambia, The ",26.7,17.4,55.9,1
75, Georgia ,8.8,22.7,68.5,2
